cy_id_old,cy_id_new,gps_north_degree,gps_north_minute,gps_east_degree,gps_east_minute,subdistrict,district
M-TGR-116,M-TGR-110,6,10523,106,38592,TANGERANG,KOTA TANGERANG
M-TGR-112,M-TGR-110,6,10535,106,38556,TANGERANG,KOTA TANGERANG
M-BKS-041,M-BKS-038,6,18.782,106,59.249,BANTARGEBANG,KOTA BEKASI
M-TGR-110,M-TGR-110,6,10527,106,38621,TANGERANG,KOTA TANGERANG
M-JKT-062,M-JKT-060,6,12553,106,52281,MATRAMAN,JAKARTA TIMUR
M-BGR-016,M-BGR-016,6,32.908,106,46.566,TANAH SEREAL,KOTA BOGOR
M-JKB-039,M-JKB-039,6,9.853,106,43.893,CENGKARENG,JAKARTA BARAT
M-BGR-009,M-BGR-009,6,32.969,106,46.422,TANAH SEREAL,KOTA BOGOR
M-BGR-010,M-BGR-010,6,33.913,106,45.469,KOTA BOGOR BARAT,KOTA BOGOR
M-BKS-063,M-BKS-063,6,14.633,107,1.141,BEKASI TIMUR,KOTA BEKASI
D-BGR-230,D-BGR-230,6,34.181,106,41.817,CIAMPEA,BOGOR
M-BKS-065,M-BKS-065,6,14.542,107,1.293,BEKASI TIMUR,KOTA BEKASI
M-JKB-041,M-JKB-039,6,9.872,106,43.877,CENGKARENG,JAKARTA BARAT
M-BKS-019,M-BKS-016,6,17.311,106,58.025,JATIASIH,KOTA BEKASI
M-BKS-088,M-BKS-088,6,14.521,107,1.216,BEKASI TIMUR,KOTA BEKASI
D-BGR-256,D-BGR-256,6,29.365,106,47.637,BOJONG GEDE,BOGOR
M-BKS-040,M-BKS-040,6,18.747,106,59.092,BANTARGEBANG,KOTA BEKASI
M-BKS-016,M-BKS-016,6,17.09,106,58.082,JATIASIH,KOTA BEKASI
M-JKB-046,M-JKB-046,6,10.625,106,46.5,KEBON JERUK,JAKARTA BARAT
M-BKS-042,M-BKS-042,6,18.738,106,59.032,BANTARGEBANG,KOTA BEKASI
D-BGR-089,D-BGR-088,6,29.136,106,47.044,TAJURHALANG,BOGOR
M-TGR-129,M-TGR-129,6,10.504,106,38.576,TANGERANG,KOTA TANGERANG
M-TGR-015,M-TGR-015,6,10.522,106,38.608,TANGERANG,KOTA TANGERANG
M-JKB-049,M-JKB-049,6,9.419,106,46.562,GROGOL PETAMBURAN,JAKARTA BARAT
M-JKB-051,M-JKB-051,6,9.199,106,46.962,GROGOL PETAMBURAN,JAKARTA BARAT
M-BKS-013,M-BKS-008,6,17.393,106,54.663,PONDOK MELATI,KOTA BEKASI
M-BKS-075,M-BKS-075,6,17.017,106,55.977,PONDOKGEDE,KOTA BEKASI
M-JKB-048,M-JKB-048,6,9.195,106,46.953,GROGOL PETAMBURAN,JAKARTA BARAT
M-JKB-055,M-JKB-054,6,8.577,106,48.031,TAMBORA,JAKARTA BARAT
M-JKB-057,M-JKB-054,6,8.573,106,48.027,TAMBORA,JAKARTA BARAT
M-JKB-056,M-JKB-054,6,8.575,106,48.029,TAMBORA,JAKARTA BARAT
M-JKB-060,M-JKB-060,6,9.418,106,49.217,TAMAN SARI,JAKARTA BARAT
M-JKB-047,M-JKB-047,6,10.784,106,46.773,KEBON JERUK,JAKARTA BARAT
M-JKB-061,M-JKB-061,6,18.233,106,45.603,KEMBANGAN,JAKARTA BARAT
M-JKB-027,M-JKB-027,6,11.187,106,46.814,KEBON JERUK,JAKARTA BARAT
M-JKB-026,M-JKB-026,6,11.245,106,46.507,KEBON JERUK,JAKARTA BARAT
M-JKB-045,M-JKB-045,6,11.246,106,46.509,KEBON JERUK,JAKARTA BARAT
M-BKS-090,M-BKS-090,6,16.26,107,0.467,RAWALUMBU,KOTA BEKASI
M-BKS-060,M-BKS-060,6,14.898,107,0.5,BEKASI TIMUR,KOTA BEKASI
M-BKS-064,M-BKS-064,6,14.877,107,1.279,BEKASI TIMUR,KOTA BEKASI
M-BKS-091,M-BKS-091,6,14.756,107,0.853,BEKASI TIMUR,KOTA BEKASI
M-BKS-092,M-BKS-091,6,14.756,107,0.862,BEKASI TIMUR,KOTA BEKASI
M-BGR-008,M-BGR-008,6,37.726,106,43.543,KOTA BOGOR SELATAN,KOTA BOGOR
D-BGR-106,D-BGR-106,6,27.135,106,47.894,BOJONG GEDE,BOGOR
D-BGR-110,D-BGR-110,6,27.243,106,47.995,BOJONG GEDE,BOGOR
D-BGR-117,D-BGR-117,6,27.083,106,47.916,BOJONG GEDE,BOGOR
M-JKB-037,M-JKB-008,6,10.833,106,43.03,CENGKARENG,JAKARTA BARAT
M-JKB-010,M-JKB-008,6,10.305,106,43.065,CENGKARENG,JAKARTA BARAT
M-JKB-036,M-JKB-008,6,10.051,106,42.973,CENGKARENG,JAKARTA BARAT
M-JKB-007,M-JKB-007,6,8.964,106,43.911,CENGKARENG,JAKARTA BARAT
M-JKB-038,M-JKB-038,6,9.019,106,44.237,CENGKARENG,JAKARTA BARAT
M-JKB-006,M-JKB-006,6,8.938,106,45.929,CENGKARENG,JAKARTA BARAT
M-JKB-017,M-JKB-013,6,8.603,106,48.501,TAMBORA,JAKARTA BARAT
M-JKU-088,M-JKU-069,6,8.167,106,48.002,PENJARINGAN,JAKARTA UTARA
D-BGR-118,D-BGR-117,6,27.609,106,47.759,BOJONG GEDE,BOGOR
D-BGR-126,D-BGR-126,6,29.236,106,47.733,BOJONG GEDE,BOGOR
M-BGR-014,M-BGR-014,6,35.094,106,47.282,KOTA BOGOR TENGAH,KOTA BOGOR
D-BGR-109,D-BGR-109,6,30.135,106,46.866,BOJONG GEDE,BOGOR
M-JKB-050,M-JKB-050,6,9.511,106,47.326,GROGOL PETAMBURAN,JAKARTA BARAT
D-BGR-120,D-BGR-117,6,27.038,106,47.98,BOJONG GEDE,BOGOR
D-BGR-105,D-BGR-105,6,27.032,106,47.932,BOJONG GEDE,BOGOR
D-BGR-114,D-BGR-114,6,27.039,106,47.971,BOJONG GEDE,BOGOR
M-JKP-047,M-JKP-047,6,10.871,106,51.633,CEMPAKA PUTIH,JAKARTA PUSAT
D-BGR-119,D-BGR-117,6,27.037,106,47.984,BOJONG GEDE,BOGOR
M-BKS-086,M-BKS-086,6,18.77,106,59.236,RAWALUMBU,KOTA BEKASI
M-BKS-089,M-BKS-089,6,18.769,106,59.244,BANTARGEBANG,KOTA BEKASI
M-BKS-026,M-BKS-025,6,14.022,106,58.466,BEKASI BARAT,KOTA BEKASI
M-BKS-025,M-BKS-025,6,14.012,106,48.458,BEKASI BARAT,KOTA BEKASI
M-TGR-084,M-TGR-084,6,10.723,106,37.59,KARAWACI,KOTA TANGERANG
D-BGR-028,D-BGR-026,6,28.86,106,50.501,CIBINONG,BOGOR
D-BGR-026,D-BGR-026,6,28.92,106,50.431,CIBINONG,BOGOR
D-BGR-016,D-BGR-016,6,28.801,106,50.492,CIBINONG,BOGOR
D-BGR-030,D-BGR-030,6,29.053,106,50.325,CIBINONG,BOGOR
D-BGR-029,D-BGR-029,6,29.364,106,50.503,CIBINONG,BOGOR
D-BGR-018,D-BGR-018,6,28.368,106,51.279,CIBINONG,BOGOR
M-TGR-124,M-TGR-124,6,10879,106,40190,BATUCEPER,KOTA TANGERANG
D-BGR-017,D-BGR-017,6,28.28,106,49.312,CIBINONG,BOGOR
M-TGR-075,M-TGR-074,6,9203,106,9816,BATUCEPER,KOTA TANGERANG
D-BGR-033,D-BGR-033,6,29.481,106,49.088,CIBINONG,BOGOR
M-JKS-063,M-JKS-063,6,14.47,106,46.678,KEBAYORAN LAMA,JAKARTA SELATAN
M-JKS-062,M-JKS-057,6,14.483,106,46.665,KEBAYORAN LAMA,JAKARTA SELATAN
M-JKS-058,M-JKS-057,6,14.471,106,46.688,KEBAYORAN LAMA,JAKARTA SELATAN
D-BGR-208,D-BGR-206,6,26.076,106,41.699,CISEENG,BOGOR
D-BGR-212,D-BGR-212,6,26.68,106,41.3,CISEENG,BOGOR
D-BKS-069,D-BKS-065,6,15.415,107,8.764,CIKARANG UTARA,BEKASI
D-BGR-224,D-BGR-223,6,36.133,106,45.487,CIOMAS,BOGOR
D-BGR-227,D-BGR-227,6,36.424,106,45.504,CIOMAS,BOGOR
D-BGR-037,D-BGR-037,6,28.148,106,49.38,CIBINONG,BOGOR
D-BGR-226,D-BGR-225,6,36.291,106,45.311,CIOMAS,BOGOR
D-BGR-032,D-BGR-032,6,29.452,106,49.385,CIBINONG,BOGOR
D-BGR-021,D-BGR-021,6,28.323,106,48.699,CIBINONG,BOGOR
D-BGR-023,D-BGR-021,6,28.526,106,49.833,CIBINONG,BOGOR
D-BGR-134,D-BGR-134,-6,498151,106,874527,CITEUREUP,BOGOR
M-TGR-077,M-TGR-074,6,9.212,106,39.808,BATUCEPER,KOTA TANGERANG
M-TGR-078,M-TGR-074,6,9.209,106,39.802,BATUCEPER,KOTA TANGERANG
M-TGR-079,M-TGR-074,6,9.194,106,39.795,BATUCEPER,KOTA TANGERANG
M-TGR-046,M-TGR-046,6,8.92,106,39.042,BATUCEPER,KOTA TANGERANG
M-TGR-044,M-TGR-044,6,10.383,106,40.764,BATUCEPER,KOTA TANGERANG
M-TGR-002,M-TGR-002,6,10.599,106,41.05,CIPONDOH,KOTA TANGERANG
M-TGR-001,M-TGR-001,6,11.554,106,40.41,CIPONDOH,KOTA TANGERANG
M-JKS-051,M-JKS-051,6,14.24,106,46.897,KEBAYORAN LAMA,JAKARTA SELATAN
M-JKS-049,M-JKS-049,6,14.293,106,46.889,KEBAYORAN LAMA,JAKARTA SELATAN
M-JKS-052,M-JKS-050,6,14.177,106,46.937,KEBAYORAN LAMA,JAKARTA SELATAN
M-JKS-076,M-JKS-071-6,6,14.407,106,46.654,KEBAYORAN LAMA,JAKARTA SELATAN
M-JKS-059,M-JKS-057,6,14.407,106,46.657,KEBAYORAN LAMA,JAKARTA SELATAN
M-JKS-065,M-JKS-065,6,14.443,106,46.675,KEBAYORAN LAMA,JAKARTA SELATAN
D-BGR-048,D-BGR-048,6,34.516,106,43.894,DRAMAGA,BOGOR
D-BGR-231,D-BGR-230,6,35.216,106,44.373,DRAMAGA,BOGOR
M-JKS-081,M-JKS-077-5,6,12.749,106,47.609,KEBAYORAN LAMA,JAKARTA SELATAN
