,,Destination 1 ID,Destination 1 subdistrict,destination 1 district,,,,,,Origin / source district,,,,,,,,
f2_in,cy_id_old,cy_id_new,CY_subdistrict,CY_district,in_cluster,Coll_ID,movement_id,Type_movement_IN_or_OUT,slaughter_all,district_org_source,subdistrict_org_source,movement_into,type,species,number,number_days_week,weekly_volume,other_delivery
5,M-JKP-016,M-JKP-005,JOHAR BARU,JAKARTA PUSAT,1,M-JKP-005-8,M-JKP-005-8-04-IN,IN,0,LAMPUNG SELATAN,,Collect,FA,LA,1500,7,10500,0
6,M-JKP-007,M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,1,M-JKP-005-2,M-JKP-005-2-01-IN,IN,0,SUKABUMI,,Deliver,Br,BR,1100,5,5500,0
6,M-JKP-007,M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,1,M-JKP-005-2,M-JKP-005-2-02-IN,IN,0,SUKABUMI,,Deliver,Br,LA,100,2,200,0
6,M-JKP-007,M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,1,M-JKP-005-2,M-JKP-005-2-03-IN,IN,0,SUBANG,,Deliver,,BR,1400,1,1400,0
7,M-JKT-057,M-JKT-051,MATRAMAN,JAKARTA TIMUR,1,M-JKT-051-7,M-JKT-051-7-01-IN,IN,0,TASIKMALAYA,,Deliver,FA,BR,2500,3,7500,0
8,M-JKT-053,M-JKT-051,MATRAMAN,JAKARTA TIMUR,1,M-JKT-051-3,M-JKT-051-3-01-IN,IN,0,SUKABUMI,,Collect,FA,LA,600,2,1200,0
8,M-JKT-053,M-JKT-051,MATRAMAN,JAKARTA TIMUR,1,M-JKT-051-3,M-JKT-051-3-02-IN,IN,0,SUBANG,,Collect,FA,LA,600,2,1200,0
8,M-JKT-053,M-JKT-051,MATRAMAN,JAKARTA TIMUR,1,M-JKT-051-3,M-JKT-051-3-03-IN,IN,0,JOMBANG,,Collect,FA,LA,600,1,600,0
8,M-JKT-053,M-JKT-051,MATRAMAN,JAKARTA TIMUR,1,M-JKT-051-3,M-JKT-051-3-04-IN,IN,0,KAB. MALANG,,Collect,FA,LA,600,1,600,0
8,M-JKT-053,M-JKT-051,MATRAMAN,JAKARTA TIMUR,1,M-JKT-051-3,M-JKT-051-3-05-IN,IN,0,KOTA BANDAR LAMPUNG,,Collect,FA,LA,600,1,600,0
9,M-JKT-055,M-JKT-051,MATRAMAN,JAKARTA TIMUR,1,M-JKT-051-5,M-JKT-051-5-01-IN,IN,0,TASIKMALAYA,,Deliver,FA,BR,2000,6,12000,0
10,M-JKT-063,M-JKT-060,MATRAMAN,JAKARTA TIMUR,1,M-JKT-060-4,M-JKT-060-4-01-IN,IN,0,BEKASI,,Collect,FA,BR,2500,7,17500,0
