marketCode,name,address,LS_Coord_Deg,LS_Coord_Min,BT_Coord_Deg,BT_Coord_Min
D-TGR-098,Mawar Mandiri,"Sari Bumi Indah, RW 02",6,12.856,106,36.327
D-TGR-099,Kemis,Ds. Sindang Panon Kec. Sindang Jaya,6,3.647,106,30.651
D-TGR-100,Puri,"Komp. Garuda, Blok A Kampung Melayu Timur, Teluk Naga",6,5.78,106,41.846
D-TGR-101,Korelet,"RT.011, RW.03 Ds. Ranca Iyuh, Kec. Panongan",6,18.178,106,31.483
D-TGR-102,Kronjo,Jl. Pasilian,6,3.969,106,25.235
D-TGR-103,Medang,Komp. Medang Lestari,6,15.835,106,36.599
D-TGR-104,Cisoka,"Jl. Raya Cisoka, Ds. Cisoka, Kec. Cisoka",6,15.882,106,25.43
D-TGR-105,Daon,"Jl. Raya Daon, Ds. Daon, Kec. Rajeg",6,7.782,106,31.541
D-TGR-106,Solear,Komp. Taman Adiyasa Kec. Solear,6,19.568,106,25.176
D-TGR-107,Kresek,"Jl. Raya Kresek, Ds. Kresek, Kec. Kresek",6,7.836,106,22.783
D-TGR-108,Tapos,"Ds.Tapos,Kp.Sukamanah, Kec.Tigaraksa",6,17.944,106,28.646
D-TGR-109,Pasir Jayes,Jl.Ry Pasir Jaya Cikupa,6,11.984,106,31.98
D-TGR-110,Sinpansa,"Ruko Sentragading Gading
Serpong Kelapadua",6,14.282,106,37.727
D-TGR-111,Paramount,Ruko Paramount Curugsangereng Kelapadua,6,14.915,106,37.39
D-TGR-112,Mutiara,Ruko Mutiara Karawaci Kel.Bencongan Kelapadua,6,13.166,106,35.742
D-TGR-113,Pasar Jayesnti,,6,12.53,106,22.965
D-TGR-114,Pasar Mauk,,6,10.246,106,37.984
D-TGR-115,Pasar Karang Jetak,,6,6.285,106,22.018
D-TGR-116,Pasar Kukun,,6,10.156,106,31.583
D-TGR-117,Pasar Ceplak,,6,9.409,106,25.338
M-BGR-004,Rikas Alvian,Jl. Raya Gn Batu No. 21A,,,,0
M-BGR-005,Pasar Anyar,"Pabaton, Bogor Tengah",,,,0
M-BGR-006,Pasar Bale Kambang,"Jl. Batu Tulis, Bale Kambang, Bogor Selatan",,,,0
M-BGR-007,H. Ahmad,Jl Surya Kancana No 3,,,,0
M-BKS-006,Namin,Kranggan Mas market,,,,0
M-BKS-007,Sarman,Kranggan Mas market,6,21.914,106,55.434
M-BKS-018,Pasar Jati Asih,Jl. Raya Jati Asih,6,17.483,106,57.969
M-BKS-022,Kranji Market,Kranji Market,,0,,0
M-BKS-023,District Market management,Sumber Artha Market,6,14.923,106,56.631
M-BKS-024,Village Market Management,Bintara market,,0,,0
M-BKS-027,Pasar Oman,Pejuang,6,10.015,106,59.479
M-BKS-029,Lurah 05 Kolong,Kalibaru,6,13.314,106,58.555
M-BKS-030,Pasar Kaget Pratama,"Pejuang, Medan Satria",6,11.373,106,59.414
M-BKS-031,Pasar Raya Bungur,Jl. Raya Agua,6,11.846,106,59.461
M-BKS-032,Pasar Kaget Timbul,Jl. Irigasi,6,13.7,106,59.283
M-BKS-033,Pasar Zamrud,"Jl. Zamrud Selatan IV, Pedurenan, Mustika Jaya",6,18.422,107,1.017
M-BKS-036,Lurah Mustikajaya,Jl. Tanah Merah,6,17.147,107,1.641
M-BKS-037,Pasar Pondok Timur Indah,Jl. Pondok Timur Indah,6,17.405,107,0.989
M-BKS-039,Pasar Bantar Gebang,Jl. Raya Narogong,,0,,0
M-BKS-048,Lurah Bambu Kuning,Jl. An Nur,6,15.86,106,59.274
M-BKS-049,Lurah Poncol Baru,Jl. Kaswari,6,14.275,106,59.085
M-BKS-050,Lurah Mujaer,Jl. Mujaer IV,6,14.189,106,58.83
M-BKS-053,M. Marsim,Pisangan,6,10.52,107,1.005
M-BKS-059,Pasar Baru Bekasi,Jl. H. Juanda,6,14.878,107,0.871
M-BKS-062,Pasar Kaget Margahayu,Margahayu,6,15.249,107,0.087
M-BKS-074,Lurah Rawa Lumbu,Jl. Dasa Darma V,6,16.293,107,0.158
M-BKS-076,Adi,Jl. Raya Pondok Gede,6,14.211,106,59.673
M-BKS-077,Pasar Pagi Pekayon,Jl Komplek Blok DD,6,15.603,106,58.67
M-BKS-078,Pasar Wisma Asri,Perum Wisma Asri,6,12.693,107,1.603
M-BKS-079,Pasar Pedurenan Baru,Jl. Raya Setu,6,18.978,107,0.599
M-DPK-001,Zulkifli,Jl. Nusantara,,0,,0
M-DPK-002,Market Agency,Jl. Dewi Sartika,6,23.998,106,49.096
M-DPK-004,Drs. Rinaldi,Komp. Renijaya,6,21.773,106,43.585
M-DPK-006,Wiwi Wirahmi,Jl. Proklamasi,6,23.507,106,50.718
M-DPK-007,Wahyu,Jl. Musi,6,23.367,106,50.884
